127.0.0.1 - - [07/Jul/2021:12:53:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Jul/2021:12:53:35 +0900] "GET /DVD/index HTTP/1.1" 200 931
0:0:0:0:0:0:0:1 - - [07/Jul/2021:12:53:35 +0900] "GET /DVD/css/common.css HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [07/Jul/2021:12:53:35 +0900] "GET /DVD/css/index.css HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [07/Jul/2021:12:53:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Jul/2021:12:53:37 +0900] "GET /DVD/index/c_info HTTP/1.1" 200 2698
0:0:0:0:0:0:0:1 - - [07/Jul/2021:12:53:37 +0900] "GET /DVD/css/c_info.css HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [07/Jul/2021:15:22:00 +0900] "GET /DVD/index HTTP/1.1" 200 931
0:0:0:0:0:0:0:1 - - [07/Jul/2021:15:22:00 +0900] "GET /DVD/css/index.css HTTP/1.1" 200 1362
0:0:0:0:0:0:0:1 - - [07/Jul/2021:15:22:01 +0900] "GET /DVD/index/dvd_srch HTTP/1.1" 200 1451
0:0:0:0:0:0:0:1 - - [07/Jul/2021:15:22:02 +0900] "GET /DVD/css/dvd_search.css HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [07/Jul/2021:15:23:27 +0900] "GET /DVD/index HTTP/1.1" 200 931
0:0:0:0:0:0:0:1 - - [07/Jul/2021:15:23:30 +0900] "GET /DVD/index/dvd_srch HTTP/1.1" 200 1451
0:0:0:0:0:0:0:1 - - [07/Jul/2021:15:26:28 +0900] "GET /DVD/index HTTP/1.1" 200 931
0:0:0:0:0:0:0:1 - - [07/Jul/2021:15:26:28 +0900] "GET /DVD/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2021:15:26:30 +0900] "GET /DVD/index/loan_list HTTP/1.1" 200 1019
0:0:0:0:0:0:0:1 - - [07/Jul/2021:15:26:30 +0900] "GET /DVD/css/loan_list.css HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [07/Jul/2021:15:28:55 +0900] "GET /DVD/index HTTP/1.1" 200 931
0:0:0:0:0:0:0:1 - - [07/Jul/2021:15:28:56 +0900] "GET /DVD/index/dvd_admin HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [07/Jul/2021:15:28:56 +0900] "GET /DVD/css/regi_dvds.css HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [07/Jul/2021:15:47:32 +0900] "GET /DVD/index HTTP/1.1" 200 931
0:0:0:0:0:0:0:1 - - [07/Jul/2021:15:47:33 +0900] "GET /DVD/index/c_info HTTP/1.1" 200 2698
0:0:0:0:0:0:0:1 - - [07/Jul/2021:15:47:33 +0900] "GET /DVD/css/c_info.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2021:16:19:35 +0900] "GET /DVD/index HTTP/1.1" 200 931
0:0:0:0:0:0:0:1 - - [07/Jul/2021:16:19:40 +0900] "GET /DVD/index/c_info HTTP/1.1" 200 3709
0:0:0:0:0:0:0:1 - - [07/Jul/2021:16:43:00 +0900] "GET /DVD/index HTTP/1.1" 200 931
0:0:0:0:0:0:0:1 - - [07/Jul/2021:16:43:03 +0900] "GET /DVD/index/c_info HTTP/1.1" 200 3705
0:0:0:0:0:0:0:1 - - [07/Jul/2021:16:43:08 +0900] "POST /DVD/index/c_info HTTP/1.1" 200 2081
0:0:0:0:0:0:0:1 - - [07/Jul/2021:16:43:48 +0900] "POST /DVD/index/c_info HTTP/1.1" 200 2098
0:0:0:0:0:0:0:1 - - [07/Jul/2021:16:43:49 +0900] "GET /DVD/index HTTP/1.1" 200 931
0:0:0:0:0:0:0:1 - - [07/Jul/2021:16:43:50 +0900] "GET /DVD/index/c_info HTTP/1.1" 200 3722
0:0:0:0:0:0:0:1 - - [07/Jul/2021:16:43:53 +0900] "POST /DVD/index/c_info HTTP/1.1" 200 2098
0:0:0:0:0:0:0:1 - - [07/Jul/2021:16:44:09 +0900] "GET /DVD/index HTTP/1.1" 200 931
0:0:0:0:0:0:0:1 - - [07/Jul/2021:16:44:10 +0900] "GET /DVD/index/c_info HTTP/1.1" 200 3722
0:0:0:0:0:0:0:1 - - [07/Jul/2021:16:45:11 +0900] "GET /DVD/index HTTP/1.1" 200 931
